Results for Algorithm (1000 tests) :
ReadingRuntime (ns); SolverRuntime (ns); TotalRuntime (ns); NumberOfRectangles; ContainerWidth (int); ContainerHeight (int); ContainerArea (int); Coverage (%);
8977760;1984948178;1993925938;10000;3897;58;226026;99;
10301214;1979828188;1990129402;10000;5124;44;225456;99;
11295187;1933293169;1944588356;10000;2510;90;225900;99;
10499140;2000043852;2010542992;10000;5653;40;226120;99;
9613018;1936828569;1946441587;10000;5367;42;225414;99;
7647985;2029417819;2037065804;10000;4042;56;226352;99;
10467535;1946627661;1957095196;10000;5370;42;225540;99;
7659442;1975028987;1982688429;10000;3640;62;225680;99;
26744836;1945282084;1972026920;10000;3136;72;225792;99;
9965017;1934786894;1944751911;10000;2092;108;225936;99;
10608967;2082971490;2093580457;10000;3642;62;225804;99;
9766697;1979327645;1989094342;10000;5369;42;225498;99;
7402257;1963123036;1970525293;10000;4346;52;225992;99;
10668621;1935174844;1945843465;10000;3229;70;226030;99;
7223294;1963413011;1970636305;10000;3431;66;226446;99;
9419438;1949462223;1958881661;10000;3637;62;225494;99;
10341906;1964234342;1974576248;10000;4700;48;225600;99;
8006305;1968015470;1976021775;10000;4527;50;226350;99;
10682843;1942925940;1953608783;10000;4041;56;226296;99;
8071490;1951345874;1959417364;10000;3320;68;225760;99;
10346251;1949253631;1959599882;10000;3763;60;225780;99;
9223883;1963091826;1972315709;10000;5932;38;225416;99;
8131540;1974855951;1982987491;10000;4526;50;226300;99;
10648868;1929958459;1940607327;10000;2405;94;226070;99;
9512673;1979467102;1988979775;10000;4701;48;225648;99;
8560971;1970774181;1979335152;10000;5367;42;225414;99;
9801857;1914028812;1923830669;10000;3761;60;225660;99;
7992083;1978724783;1986716866;10000;4934;46;226964;99;
14793057;1975644888;1990437945;10000;3640;62;225680;99;
10502695;1921294378;1931797073;10000;4177;54;225558;99;
7694998;1979810015;1987505013;10000;4346;52;225992;99;
10983089;1969813393;1980796482;10000;5370;42;225540;99;
10766991;1976965182;1987732173;10000;5127;44;225588;99;
10132128;1971441439;1981573567;10000;5370;42;225540;99;
8954056;1928970412;1937924468;10000;2981;76;226556;99;
7361961;1976120936;1983482897;10000;3898;58;226084;99;
11086200;1953101920;1964188120;10000;3227;70;225890;99;
10293313;1962854000;1973147313;10000;3637;62;225494;99;
7214998;1982373566;1989588564;10000;5125;44;225500;99;
12391086;1974470767;1986861853;10000;5367;42;225414;99;
9635932;1951059454;1960695386;10000;4937;46;227102;99;
7723442;1967083522;1974806964;10000;5125;44;225500;99;
11073953;1946611464;1957685417;10000;3759;60;225540;99;
10036128;1945000405;1955036533;10000;3048;74;225552;99;
7665367;1951807700;1959473067;10000;5649;40;225960;99;
9979239;1962232964;1972212203;10000;4700;48;225600;99;
10031782;1917965989;1927997771;10000;3761;60;225660;99;
7469417;1945725342;1953194759;10000;3759;60;225540;99;
10183881;1975713628;1985897509;10000;5368;42;225456;99;
10138449;1950639900;1960778349;10000;4932;46;226872;99;
7220924;1961673557;1968894481;10000;4177;54;225558;99;
9964622;1896054724;1906019346;10000;3430;66;226380;99;
9819240;1905036434;1914855674;10000;3898;58;226084;99;
7610059;1938370887;1945980946;10000;2262;100;226200;99;
10262103;1997867066;2008129169;10000;5125;44;225500;99;
7210652;1948847114;1956057766;10000;3759;60;225540;99;
10248276;1989092367;1999340643;10000;4698;48;225504;99;
10000177;1971628303;1981628480;10000;5652;40;226080;99;
7783491;1952979846;1960763337;10000;3759;60;225540;99;
10034548;2018394828;2028429376;10000;5125;44;225500;99;
