Results for Algorithm (1000 tests) :
ReadingRuntime (ns); SolverRuntime (ns); TotalRuntime (ns); NumberOfRectangles; ContainerWidth (int); ContainerHeight int); ContainerArea (int); Coverage (%);
9096673;2065618438;2074715111;10000;511;450;229950;97;
11059336;2054010757;2065070093;10000;507;450;228150;98;
7570948;2082948577;2090519525;10000;509;450;229050;98;
10800571;2079076585;2089877156;10000;509;450;229050;98;
7708825;2108736970;2116445795;10000;510;450;229500;98;
10803732;2070295565;2081099297;10000;510;450;229500;98;
10805707;2073131707;2083937414;10000;513;450;230850;97;
11235138;2110353955;2121589093;10000;511;450;229950;97;
11646397;2112043235;2123689632;10000;510;450;229500;98;
11043139;2078371401;2089414540;10000;507;450;228150;98;
11116225;2059175784;2070292009;10000;513;450;230850;97;
11490742;2044797542;2056288284;10000;510;450;229500;98;
7815491;2162125111;2169940602;10000;509;450;229050;98;
12249655;2121463859;2133713514;10000;512;450;230400;97;
7504578;2092897396;2100401974;10000;511;450;229950;97;
11155731;2073719953;2084875684;10000;510;450;229500;98;
10036919;2069160159;2079197078;10000;512;450;230400;97;
10791485;2086604865;2097396350;10000;509;450;229050;98;
11959285;2101466268;2113425553;10000;512;450;230400;97;
10413017;2123831064;2134244081;10000;508;450;228600;98;
10733411;2057303590;2068037001;10000;512;450;230400;97;
8581513;2086582743;2095164256;10000;510;450;229500;98;
11124522;2039730489;2050855011;10000;510;450;229500;98;
7625861;2099877729;2107503590;10000;510;450;229500;98;
10739732;2024274915;2035014647;10000;510;450;229500;98;
7655096;2098135905;2105791001;10000;506;450;227700;98;
11149805;2050621925;2061771730;10000;511;450;229950;97;
8498552;2094425492;2102924044;10000;511;450;229950;97;
10961756;2062822592;2073784348;10000;511;450;229950;97;
7580035;2065170439;2072750474;10000;509;450;229050;98;
11418052;2020748996;2032167048;10000;510;450;229500;98;
8178552;2129466608;2137645160;10000;510;450;229500;98;
11510891;2070920551;2082431442;10000;512;450;230400;97;
8115342;2056390209;2064505551;10000;509;450;229050;98;
10886299;1933172676;1944058975;10000;508;450;228600;98;
8543193;2079283992;2087827185;10000;512;450;230400;97;
10919484;2063863578;2074783062;10000;511;450;229950;97;
10049561;2103569968;2113619529;10000;510;450;229500;98;
10969263;2059009068;2069978331;10000;514;450;231300;97;
10248276;2010844423;2021092699;10000;508;450;228600;98;
9147241;2026815947;2035963188;10000;513;450;230850;97;
11156916;2107249566;2118406482;10000;512;450;230400;97;
7980626;2366939719;2374920345;10000;508;450;228600;98;
11420817;3225341184;3236762001;10000;509;450;229050;98;
8485910;2558558501;2567044411;10000;511;450;229950;97;
13110492;2629086758;2642197250;10000;510;450;229500;98;
11888964;2807769663;2819658627;10000;508;450;228600;98;
17265349;2813903775;2831169124;10000;510;450;229500;98;
12499728;2742613052;2755112780;10000;509;450;229050;98;
11159682;2652598809;2663758491;10000;509;450;229050;98;
13409949;2506843048;2520252997;10000;511;450;229950;97;
19386430;2437543433;2456929863;10000;511;450;229950;97;
10635831;2218816753;2229452584;10000;510;450;229500;98;
8212922;2356410950;2364623872;10000;509;450;229050;98;
10823090;2411529459;2422352549;10000;510;450;229500;98;
10924620;2352568983;2363493603;10000;511;450;229950;97;
8826846;2301333923;2310160769;10000;511;450;229950;97;
11252916;2275974171;2287227087;10000;509;450;229050;98;
8471292;2334129908;2342601200;10000;509;450;229050;98;
10395633;2411734496;2422130129;10000;509;450;229050;98;
8321169;2321414476;2329735645;10000;509;450;229050;98;
10561164;2375571802;2386132966;10000;511;450;229950;97;
10244326;2311148027;2321392353;10000;510;450;229500;98;
8966303;2254782312;2263748615;10000;512;450;230400;97;
10700621;2131831048;2142531669;10000;513;450;230850;97;
8726897;2248712595;2257439492;10000;507;450;228150;98;
11017855;2377469674;2388487529;10000;509;450;229050;98;
9558500;2225361727;2234920227;10000;510;450;229500;98;
10763831;2275085678;2285849509;10000;512;450;230400;97;
10774102;2199695803;2210469905;10000;511;450;229950;97;
8971044;2256222309;2265193353;10000;513;450;230850;97;
10913559;2274087754;2285001313;10000;511;450;229950;97;
8788131;2239816613;2248604744;10000;512;450;230400;97;
10832571;2303077327;2313909898;10000;511;450;229950;97;
10974399;2144227270;2155201669;10000;512;450;230400;97;
8176972;2183619588;2191796560;10000;509;450;229050;98;
11083830;2187375037;2198458867;10000;510;450;229500;98;
8713859;2158493317;2167207176;10000;508;450;228600;98;
14019132;2192326732;2206345864;10000;511;450;229950;97;
9927092;2137773950;2147701042;10000;510;450;229500;98;
10489263;2127507106;2137996369;10000;512;450;230400;97;
10728670;2280762310;2291490980;10000;510;450;229500;98;
10976769;2239323972;2250300741;10000;511;450;229950;97;
8512773;2264619329;2273132102;10000;509;450;229050;98;
10628325;2123453781;2134082106;10000;512;450;230400;97;
9027933;2229315497;2238343430;10000;509;450;229050;98;
10853510;2244223517;2255077027;10000;509;450;229050;98;
10878794;2278502956;2289381750;10000;511;450;229950;97;
10841263;2199249779;2210091042;10000;511;450;229950;97;
10877213;2189670341;2200547554;10000;512;450;230400;97;
10841262;2208707143;2219548405;10000;510;450;229500;98;
